currency,Raw Material Price,Global demand percent,Labor Cost,Interest Rates,Consumer Price Index,Category
74,2777,10,2983,3,486,1
83,1835,33,2236,6,360,1
70,3143,8,3062,3,758,0
71,2040,35,2485,3,258,1
79,2780,42,3211,3,240,0
72,2486,15,3259,6,212,1
88,3115,26,2851,3,240,0
81,2306,41,3400,7,325,1
77,2692,19,2815,6,495,1
78,2763,40,2270,8,848,0
86,2108,35,2549,7,494,1
80,2461,11,2971,6,236,0
84,2958,8,2792,8,538,0
75,2876,42,2271,5,403,1
84,2134,38,3393,3,696,1
76,2575,25,2228,8,796,0
74,2757,36,3482,9,340,0
81,2673,8,3079,7,293,0
80,3004,22,2477,4,689,0
80,2988,25,2420,7,795,1
82,2060,19,2274,6,268,1
85,2674,24,2205,3,305,0
71,2366,24,2927,8,730,1
74,2743,39,2444,8,525,0
88,2505,9,2440,4,221,1
79,2486,43,2661,6,487,1
74,2788,35,2701,4,320,1
89,2217,32,3234,5,210,1
79,2704,16,2228,6,622,0
79,3001,22,3360,6,335,1
78,3049,29,2267,7,788,0
82,2307,43,2765,6,297,1
78,2150,20,2797,9,425,0
75,2685,28,3546,5,701,1
77,2289,37,2355,7,727,0
84,1802,38,2223,7,752,0
90,1981,43,3345,7,281,1
77,3094,10,2826,9,229,1
74,2371,25,2596,5,571,1
84,1951,34,2939,8,698,1
70,1985,24,2436,7,232,1
87,2660,27,2908,9,590,1
73,2122,23,3107,4,540,0
76,1991,42,3501,6,650,1
85,2566,13,2405,8,408,1
70,1902,13,2472,4,741,1
81,2118,32,3496,8,343,0
87,3132,17,3447,2,303,0
73,2387,13,3579,5,310,1
80,2961,14,3395,5,222,1
89,2743,26,2862,5,624,0
73,2081,22,3379,7,779,0
72,2991,28,2731,7,662,0
85,3006,43,3554,8,614,1
71,2321,9,2543,3,507,1
72,1873,25,3332,5,758,1
84,2018,24,3226,6,535,0
72,2255,32,3444,6,488,1
90,2741,25,2798,7,641,0
88,2578,8,3563,7,265,1
77,2896,8,2827,5,822,0
72,1964,19,2491,2,468,1
74,3035,39,3365,5,371,1
81,2344,20,2955,8,464,1
84,3027,39,2208,6,725,0
73,2675,33,2411,3,381,1
72,2198,6,3521,3,296,0
75,2933,26,3230,4,595,1
90,1925,26,2584,9,834,1
80,2638,16,3317,7,308,0
88,2749,12,3238,7,325,1
71,2464,25,3467,7,702,0
74,2723,13,2872,3,265,0
87,1968,22,3002,9,486,0
70,2521,30,3261,5,334,1
71,2820,30,2250,3,632,1
85,2180,9,3545,6,834,0
74,2755,27,2281,8,844,1
81,2299,33,3050,8,307,0
86,2618,26,3273,7,289,1
84,1863,44,3412,9,501,0
72,2210,30,2753,6,399,0
88,2474,29,3040,8,772,1
79,2418,13,2778,5,503,0
88,2365,30,3179,7,293,1
75,2145,8,3475,5,221,0
82,2919,43,3196,8,460,0
86,2876,17,3032,5,286,1
73,2425,12,2277,4,400,1
87,2834,41,2758,2,496,0
80,2135,13,2578,4,781,0
78,2006,15,2566,8,598,0
88,2139,29,2402,7,702,0
70,2322,9,2740,6,244,1
83,2051,7,3187,3,843,0
87,2905,34,2300,6,690,1
78,2257,17,2597,6,589,0
84,1931,21,3443,3,757,1
82,2752,6,2500,6,310,0
88,2348,25,3339,5,849,1
89,2819,19,3177,5,422,0
79,1866,19,3528,6,357,0
72,2846,17,2825,3,449,1
75,1803,17,3004,6,303,1
73,2419,38,2857,8,597,1
74,2785,34,3239,4,714,1
79,2673,21,3028,5,650,1
83,3135,40,2674,7,396,1
73,2638,32,3041,8,783,1
76,3020,24,3095,7,600,1
82,2511,8,2823,7,732,0
88,1846,7,3269,7,696,0
79,2343,42,3067,6,681,1
88,2911,40,3186,3,797,1
73,2522,24,2620,2,688,0
78,1888,9,3480,7,216,1
79,2899,37,2227,5,388,0
78,2245,10,3034,7,507,1
90,2159,22,2391,4,651,1
89,2463,19,2821,8,416,0
82,2271,32,3043,8,516,0
71,2853,11,3308,3,372,0
87,3118,30,2421,5,573,1
78,2284,23,3185,5,446,0
84,2136,40,2764,5,459,0
86,2355,9,3091,8,506,0
86,1947,35,2664,8,607,1
81,3009,6,3562,3,717,0
77,2225,23,2394,7,678,0
78,3095,18,3057,4,479,0
73,2922,15,2421,7,456,0
85,2871,30,2302,8,762,1
84,2583,39,2215,6,524,0
78,2531,38,3250,7,558,0
84,3127,18,2304,6,599,1
81,1995,44,3246,4,544,0
72,2616,26,2389,8,414,0
73,2694,15,3216,3,213,1
85,2249,16,2226,3,460,0
73,2718,32,2413,8,679,1
82,2446,30,3101,8,784,1
76,2957,13,2777,6,362,1
70,2984,42,2803,8,663,1
72,1942,40,3019,5,434,1
79,1926,42,2847,5,213,1
73,2286,20,3350,8,756,1
83,3055,9,3009,8,632,0
86,3125,25,2792,8,581,0
83,2487,40,3066,8,741,1
80,1951,27,2268,5,215,0
71,1883,16,3208,3,782,0
85,1991,14,2893,4,503,0
79,2599,13,2876,6,360,0
87,1916,28,3061,9,431,0
83,1860,20,3514,7,367,0
76,2050,14,2803,5,496,0
79,1851,20,3398,6,518,1
81,2494,43,2825,7,757,1
88,2808,10,2881,4,535,0
90,2543,30,3440,7,524,1
89,2283,23,2435,3,401,0
78,1873,24,2691,4,286,1
75,1910,18,2679,4,515,0
72,3040,40,3215,7,607,0
70,2861,14,2997,5,488,0
76,2782,33,3176,2,756,1
81,2635,39,3586,6,206,0
73,1978,31,2973,5,709,1
87,2935,6,2965,2,647,0
77,2613,12,2310,5,313,0
85,1807,33,3496,5,282,0
81,1943,16,2983,7,372,1
75,2148,16,3552,5,271,0
84,2605,22,2993,3,792,1
77,2926,33,2855,5,651,1
81,2653,23,3254,3,345,1
86,2045,28,2845,3,768,0
85,2496,30,2806,8,210,0
87,2256,7,2565,6,370,0
83,3196,26,3137,8,540,0
80,2155,29,2484,4,461,0
71,2240,12,2864,7,845,0
89,2970,42,2917,9,502,0
74,1956,34,3545,8,626,0
88,2413,43,2222,5,756,0
73,3040,24,3037,6,660,0
89,2998,39,2805,3,251,0
80,2508,39,2854,9,290,0
73,2730,27,3438,6,420,1
72,2531,11,2491,9,366,1
86,2180,18,3379,8,446,0
83,2076,14,2793,3,540,1
85,2358,8,3211,8,554,1
85,3164,14,3213,4,491,0
77,2917,27,2426,9,283,1
87,3088,35,2837,2,437,1
71,3102,10,3529,5,401,0
70,2266,24,2253,3,398,0
86,1810,14,3037,9,549,0
80,3158,27,2518,5,821,1
79,2091,17,3390,3,370,1
88,2036,40,3186,4,676,1
76,2490,28,2783,8,373,1
88,2099,31,3173,4,273,1
72,2770,6,2848,6,731,1
88,2545,40,2265,7,426,1
81,2778,16,3414,5,254,0
70,2829,17,3541,5,403,1
74,3138,28,2603,3,292,1
86,2365,25,2400,6,324,1
72,2871,6,2822,6,563,1
85,2756,17,3423,3,424,1
88,2322,27,2337,3,768,0
86,2095,27,3067,6,280,0
74,1818,21,2772,3,508,1
73,2319,13,2266,7,214,0
88,2919,40,2682,3,512,1
85,2509,35,3054,5,238,1
70,3123,25,3407,4,716,0
74,2853,29,3227,9,700,1
85,2934,13,3318,3,223,1
75,2685,8,3045,8,438,1
76,2675,36,2233,8,604,1
72,2498,35,2837,4,715,0
73,2722,12,2773,3,306,1
80,2119,38,3568,6,463,0
80,2957,23,2406,4,623,0
81,1884,15,2788,3,598,1
73,2118,16,3568,3,842,1
83,1879,31,2644,6,791,1
84,2744,24,2978,2,724,1
79,2697,15,2433,9,350,0
70,2819,41,3089,5,396,0
88,1865,19,3556,3,660,0
89,2367,37,3201,8,672,1
75,2972,39,3575,4,601,0
87,2379,39,2382,7,465,1
75,2981,28,2880,2,821,0
87,2919,43,3304,4,206,0
71,1958,38,2800,5,676,0
88,2801,33,3304,3,541,1
87,2132,13,2698,5,324,1
84,3182,25,2318,5,226,0
81,2108,31,2695,8,681,1
81,1972,30,2219,9,731,0
74,2566,41,2959,4,636,0
75,2626,24,2640,2,765,1
82,2931,18,2291,8,680,1
72,2094,41,3087,5,733,1
90,2467,16,2288,7,641,0
76,2197,27,3033,5,657,0
89,3091,25,3415,7,271,1
89,1838,29,2544,6,441,0
76,2594,35,3383,6,834,1
89,2005,12,2658,3,351,0
73,2064,29,3520,8,764,1
81,2208,39,2773,8,219,0
75,2599,38,3446,8,703,0
81,2125,23,3434,8,832,0
84,2485,8,2271,6,287,0
72,2848,9,2971,2,287,0
76,3164,11,3053,9,389,0
82,1837,13,3060,3,848,0
78,2835,32,2978,8,460,0
82,2968,8,2628,9,219,1
74,2340,22,2776,9,222,0
83,2457,21,3151,3,337,0
84,1861,44,3352,8,373,0
84,1896,21,3503,5,660,0
78,2900,35,2628,5,661,0
73,2190,12,2765,5,375,1
84,2993,14,3589,3,394,1
74,2440,17,3326,8,724,0
80,2982,18,2799,5,497,0
72,2855,12,2414,3,508,1
79,2248,23,3415,6,200,0
72,2617,7,2849,3,813,1
77,2979,11,2959,9,313,0
72,2144,21,2952,6,533,1
75,2767,41,2691,4,508,1
88,2610,37,2570,6,468,0
74,2399,8,2648,2,476,0
83,2274,32,3326,7,642,1
71,2383,10,2332,5,430,0
80,2378,12,2876,5,440,1
89,2703,38,2228,8,474,1
79,2989,43,2406,4,747,1
75,1837,35,3388,4,664,1
79,2219,24,2640,3,755,1
78,3011,19,2907,6,482,1
72,1969,34,2613,5,552,0
78,2604,43,3198,3,780,1
84,3086,18,2665,2,839,0
87,2722,26,3219,4,550,1
86,2461,32,2815,7,597,1
84,2266,38,2941,6,752,0
80,1847,36,3158,4,677,1
84,2799,18,3365,8,356,1
73,2125,39,2735,6,219,1
90,2272,38,2843,3,656,1
84,2540,23,2921,5,601,0
87,2052,39,2767,4,523,1
81,2158,37,2876,3,400,0
79,2192,34,2640,6,230,0
87,2580,15,3220,8,336,1
83,2343,21,3093,6,491,0
89,2970,41,3259,4,292,1
76,3089,34,3452,6,380,0
84,2304,40,2926,5,387,1
80,2234,43,2222,7,571,0
71,2232,15,3407,3,257,0
72,2981,29,2530,3,756,1
74,1980,22,3361,9,255,1
88,1976,39,3267,5,367,1
88,2927,17,2766,7,515,0
72,2378,17,2230,7,830,1
88,2305,39,2564,7,205,0
74,2884,39,3105,7,562,1
88,2406,11,3511,9,637,1
81,3185,16,2679,7,296,1
76,2768,11,3082,6,268,1
81,2582,14,2555,8,249,1
82,3197,13,3570,4,752,1
81,1826,43,2325,5,367,1
84,1986,31,3254,8,217,0
86,2879,10,2592,5,449,1
86,2066,9,3519,5,226,0
73,3009,7,3198,6,407,1
89,2144,26,2790,4,648,1
89,3134,38,2228,4,271,0
89,2599,30,2945,8,296,1
84,1923,33,3433,7,403,0
81,2858,16,2937,3,790,1
87,2802,21,2989,9,449,0
89,3120,26,2580,5,731,0
72,2091,24,2805,8,456,0
86,2391,12,3019,6,639,1
84,2579,22,2771,3,297,0
75,1938,17,2210,3,362,1
86,2190,17,2681,9,689,0
82,2547,36,3110,6,525,0
80,2049,11,3293,7,217,0
70,1866,34,2443,5,558,0
83,2144,14,2388,7,590,0
71,2259,39,2210,3,359,1
89,3024,27,2900,3,220,1
86,2949,34,2943,5,573,0
72,2104,10,2461,5,382,0
85,2241,34,3105,8,626,0
88,2454,17,2537,5,848,0
76,2316,25,2721,8,816,1
75,2061,39,3217,8,633,0
77,2386,23,3354,8,838,1
86,2762,26,2374,7,501,1
81,1975,13,2578,6,428,1
76,2301,22,3042,3,265,1
76,2757,7,2859,6,259,1
83,2415,30,3143,8,235,0
81,2910,12,3347,5,664,1
86,2454,34,2601,3,221,0
79,2675,9,2889,2,465,0
88,2101,11,2823,6,585,0
83,2448,11,2503,5,600,1
73,3090,9,2783,2,777,1
83,2574,23,3554,9,629,1
72,2341,35,3531,6,221,0
71,2137,37,2845,6,615,0
88,2637,16,3156,8,763,1
85,3078,12,2656,5,443,0
72,2785,26,2280,3,439,1
87,3085,13,2227,7,511,0
70,2050,41,2948,6,749,0
85,2217,19,2587,4,331,0
85,2949,31,3049,5,751,1
90,2630,17,2325,3,836,1
87,2216,23,3571,9,391,0
74,3017,33,3021,3,276,0
84,2850,30,2352,5,737,0
75,2167,12,2802,4,803,1
71,2269,43,3324,6,807,0
77,1949,21,3147,7,232,1
86,1889,7,3283,3,281,0
74,2661,36,3272,6,216,1
80,1904,35,3146,3,733,0
81,2202,14,3403,4,243,0
76,2456,17,3094,9,407,0
75,1937,7,2436,3,560,0
81,2783,11,2400,4,650,0
81,2149,38,2548,5,706,0
89,2574,33,3552,9,807,1
83,2846,34,2336,7,224,1
73,2708,21,3560,8,212,1
76,2158,8,2675,8,468,1
73,3197,22,2348,5,460,1
75,2183,37,2879,6,341,0
88,2601,8,3053,4,672,1
84,1861,28,2935,3,314,0
72,3090,29,2668,3,439,1
85,2506,32,2587,5,381,0
86,2294,16,2389,5,277,1
73,2112,11,3144,5,355,1
80,1945,38,3099,9,477,1
83,1829,26,2379,5,800,0
84,2492,37,2386,4,506,0
84,2627,10,2812,4,787,0
89,2509,41,3571,5,415,1
70,1973,12,3001,6,568,0
75,2112,32,2781,5,841,1
82,1911,40,2896,7,579,1
78,2950,30,3000,7,662,0
80,2988,36,2988,3,820,0
76,3142,37,3056,5,392,0
85,2144,13,2669,7,622,1
78,2398,33,2898,4,728,0
88,2053,8,2946,5,469,0
76,3100,27,3038,4,788,1
86,2670,34,3341,7,703,0
76,1840,39,2783,2,345,0
83,1811,12,3000,5,816,0
75,1854,15,2565,7,715,1
79,2291,24,2387,6,367,0
70,3114,6,2996,3,508,0
71,2073,29,3350,4,218,1
77,3182,6,2833,6,342,1
83,2028,7,2315,7,219,1
88,2412,31,2986,5,267,0
83,2239,19,3520,4,838,1
77,2499,20,2769,4,711,1
74,2231,15,3125,5,644,0
83,2697,32,2343,8,274,0
84,2950,17,2906,3,301,0
88,3047,8,2967,3,769,0
84,1886,24,2572,4,379,0
78,1805,24,2282,2,800,0
72,2068,42,2952,4,712,1
76,2787,30,3356,6,309,1
73,2221,32,3471,7,848,0
83,2269,17,3596,7,604,0
89,2093,43,3105,5,803,0
75,2418,10,2353,8,386,1
87,3011,38,2709,2,512,1
82,2810,20,3550,3,313,1
88,1950,30,2635,7,602,0
78,2832,21,2269,5,633,1
83,2098,24,2719,4,769,0
87,2300,21,3440,9,303,0
71,1988,32,2675,8,745,1
75,2279,15,2262,6,835,0
75,1857,9,3149,4,464,1
88,2576,42,2365,7,777,1
85,2159,28,3118,9,614,1
75,2725,16,2938,2,233,0
80,1946,21,3388,9,488,1
77,3027,27,2759,4,799,1
73,1873,22,3533,5,313,0
77,2459,20,2447,7,383,1
75,2852,43,2228,4,573,1
72,2915,35,2962,6,762,0
73,2355,41,3315,7,408,0
74,2617,43,3223,4,224,1
86,2732,22,3199,3,519,1
87,1932,35,2421,8,241,1
82,1902,7,2679,5,565,1
74,2108,38,2415,2,675,1
70,2681,21,3349,4,637,1
73,2350,36,2568,5,421,0
80,2545,26,2387,5,398,0
80,2982,21,3187,6,333,1
88,2400,21,2954,6,617,1
72,2106,32,2681,5,508,1
77,2723,17,2672,6,609,0
86,2029,41,2645,9,299,0
75,2147,43,3334,7,741,0
70,1988,26,2763,5,338,0
76,1904,34,2326,8,391,0
89,1803,11,2205,5,421,1
80,1933,29,3339,6,297,1
88,3041,36,2424,2,415,0
79,2993,30,2651,4,602,1
88,2796,36,3534,7,656,1
76,2597,33,2787,5,846,0
71,2611,15,2350,6,684,1
77,1844,24,3446,3,293,0
80,2704,30,3449,7,651,1
83,2708,21,3090,9,310,0
81,2852,44,3238,7,210,1
80,2776,22,2907,6,275,1
72,2011,39,2370,4,653,1
85,2781,43,2290,9,846,0
81,3069,24,3213,7,267,1
78,3148,20,3122,5,724,1
87,2554,34,3484,9,277,0
72,2071,25,2410,9,609,1
82,2180,23,2604,5,279,0
80,2565,28,2580,4,771,1
85,3006,22,2934,6,671,1
74,2847,26,2906,9,587,1
75,2047,34,2367,7,359,1
88,2111,7,2275,5,825,0
80,2668,8,2697,4,506,0
75,2459,11,2383,7,739,1
75,1951,43,2962,8,689,1
88,2288,37,3497,4,414,0
80,2369,21,3315,6,431,1
81,2271,20,2528,9,821,1
88,3132,29,3359,6,694,1
73,1866,24,2941,7,435,1
75,1984,20,3428,8,411,0
80,3033,38,2669,6,367,0
76,2978,34,3037,5,218,1
70,2921,21,2276,8,509,1
85,2690,31,2660,8,775,1
84,2374,39,3207,5,692,1
87,2048,25,2707,5,783,0
80,1953,31,2776,5,381,0
82,3082,34,3119,3,344,1
77,2812,33,3241,6,847,1
89,1931,16,3430,7,344,0
86,2948,28,2421,4,230,0
72,2325,14,2489,9,325,0
71,1845,36,2265,6,387,0
73,2672,41,2634,3,626,1
83,3090,10,2369,3,348,0
74,2573,6,3310,4,594,1
79,2776,35,2941,9,571,1
86,2814,40,2720,7,307,0
81,2803,43,2319,5,474,1
71,3118,22,3330,2,571,0
74,2949,42,2719,4,812,1
74,1817,37,3430,3,699,0
79,2910,11,2434,8,392,1
76,1925,27,2896,5,822,1
77,2228,31,2914,9,361,1
70,2067,23,3545,8,258,0
81,2683,41,2687,9,246,0
78,2526,25,2652,7,545,0
81,2389,35,3387,6,315,1
82,2292,41,2648,5,379,1
79,2139,43,2379,9,486,1
70,1855,15,3195,7,379,1
89,1889,11,3203,6,304,0
83,2588,44,3219,6,778,1
82,2035,22,3597,5,306,1
74,2113,30,2376,4,511,0
89,3131,38,3122,5,608,1
71,2946,37,2599,6,299,0
73,2114,23,3191,6,577,1
78,2411,40,3102,6,737,1
81,2797,31,3429,8,642,1
79,2040,22,3014,6,718,0
88,2208,18,3535,8,773,0
74,1889,23,2346,8,830,1
73,2038,17,2515,9,318,1
81,2513,33,2994,8,211,1
77,1812,21,2511,3,816,0
72,2028,11,2519,3,413,0
87,2266,9,3143,8,564,0
73,2963,28,2733,4,760,0
77,1830,25,2521,8,826,0
74,2210,20,3438,3,683,0
79,2381,21,3142,9,847,0
88,2873,14,2207,8,562,1
83,1834,24,3047,8,656,0
76,2311,7,2981,5,743,1
81,3079,13,2939,6,725,0
72,2957,15,2852,8,797,0
71,2306,12,3043,9,547,0
90,2490,14,3492,5,392,0
76,2150,40,2996,2,460,0
73,2850,20,2971,3,267,0
88,2152,21,2341,4,637,1
84,1951,40,2690,6,634,0
81,2387,39,2212,7,357,1
73,1932,23,3156,6,734,1
72,2077,27,3150,7,800,1
79,2173,20,3031,3,365,1
84,2902,8,2287,4,765,1
84,2239,25,3545,5,371,1
80,1825,25,2697,6,468,1
